park,hospital,supermarket,office,school,leisure,shopping
0,1,18,170,74,13,0
0,1,18,494,74,13,0
0,1,18,67,74,13,59
0,1,18,7,74,13,59
0,1,18,493,74,164,59
0,1,18,105,37,164,59
0,1,18,233,74,13,0
0,1,18,394,37,164,0
0,1,18,66,74,13,0
0,1,18,489,37,164,59
0,1,18,448,74,13,59
0,1,18,92,37,164,0
0,1,18,204,37,164,59
0,1,18,70,74,13,0
0,1,18,135,74,13,0
0,1,18,22,37,164,59
0,1,18,338,74,13,0
0,1,18,398,74,13,0
0,1,18,391,74,13,0
0,1,18,174,37,164,59
0,1,18,298,74,13,0
0,1,18,388,37,164,59
0,1,18,221,74,13,0
0,1,18,458,74,13,0
0,1,18,3,74,13,59
0,1,18,118,37,164,59
0,1,18,123,74,13,59
0,1,18,235,37,164,59
0,1,18,153,74,13,0
0,1,18,384,37,13,59
0,1,18,17,37,13,59
0,1,18,336,37,164,59
0,1,18,79,74,13,0
0,1,18,373,37,164,0
0,1,18,418,74,13,0
0,1,18,440,37,13,59
0,1,18,356,74,13,59
0,1,18,458,74,13,0
0,1,18,471,37,164,59
0,1,18,122,37,13,59
0,1,18,462,74,13,59
0,1,18,144,74,13,0
0,1,18,19,74,13,0
0,1,18,387,74,13,0
0,1,18,109,74,13,0
0,1,18,206,74,13,0
0,1,18,338,74,13,59
0,1,18,39,74,13,59
0,1,18,233,74,13,0
0,1,18,420,74,13,0
0,1,18,13,74,13,0
0,1,18,38,37,164,59
0,1,18,335,74,13,0
0,1,18,144,37,164,59
0,1,18,15,74,13,0
0,1,18,185,74,164,59
0,1,18,500,37,164,0
0,1,18,299,37,164,11
0,1,18,85,74,13,0
0,1,18,86,74,13,0
0,1,18,301,74,13,0
0,1,18,255,37,13,59
0,1,18,289,74,13,0
0,1,18,422,37,13,59
0,1,18,62,37,164,59
0,1,18,83,74,13,0
0,1,18,114,37,164,59
0,1,18,283,74,13,0
0,1,18,219,74,13,0
0,1,18,475,37,13,59
0,1,18,11,74,13,0
0,1,18,486,74,13,0
0,1,18,302,74,13,0
0,1,18,471,74,164,59
0,1,18,61,37,13,59
0,1,18,502,74,13,0
0,1,18,443,37,164,0
0,1,18,105,74,13,0
0,1,18,187,74,13,0
0,1,18,461,74,13,0
0,1,18,136,74,13,0
0,1,18,498,74,13,0
0,1,18,163,74,13,0
0,1,18,488,74,13,0
0,1,18,487,37,164,59
0,1,18,33,74,13,0
0,1,18,43,74,13,0
0,1,18,306,74,13,0
0,1,18,18,74,13,0
0,1,18,310,74,164,0
0,1,18,359,74,13,0
0,1,18,428,74,13,0
0,1,18,172,74,13,0
0,1,18,209,37,164,59
0,1,18,19,74,13,0
0,1,18,7,74,13,0
0,1,18,378,74,13,0
0,1,18,503,37,164,59
0,1,18,242,74,13,0
0,1,18,108,74,13,0
0,1,18,513,74,13,0
0,1,18,462,37,13,59
0,1,18,329,74,13,0
0,1,18,169,74,13,0
0,1,18,229,74,13,0
0,1,18,320,74,13,0
0,1,18,197,74,13,0
0,1,18,340,74,13,0
0,1,18,472,74,13,0
0,1,18,210,37,164,0
0,1,18,450,37,164,0
0,1,18,25,74,13,0
0,1,18,10,74,13,59
0,1,18,449,37,164,0
0,1,18,170,37,164,59
0,1,18,453,74,13,0
0,1,18,182,74,13,0
0,1,18,517,74,13,0
0,1,18,317,74,13,0
0,1,18,246,74,13,0
