park,hospital,supermarket,office,school,leisure,shopping
1,2,3,307,41,15,3
1,2,3,212,41,15,3
1,2,3,40,41,15,3
1,2,3,77,41,15,3
1,2,3,67,41,15,3
1,2,3,213,41,15,3
1,2,3,349,41,15,3
1,2,3,56,41,15,3
1,2,3,129,41,15,3
1,2,3,327,41,5,3
1,2,3,63,41,15,3
1,2,3,192,41,15,3
1,2,3,368,41,15,3
1,2,3,383,41,5,3
1,2,3,400,41,15,3
1,2,3,150,41,15,3
1,2,3,218,41,5,3
1,2,3,252,41,15,3
1,2,3,145,41,15,3
1,2,3,150,41,15,3
1,2,3,137,41,40,3
1,2,3,227,41,5,3
1,2,3,14,41,15,3
1,2,3,343,41,15,3
1,2,3,159,41,15,3
1,2,3,177,41,15,3
1,2,3,347,41,5,3
1,2,3,34,41,15,3
1,2,3,68,41,15,3
1,2,3,46,41,15,3
1,2,3,332,41,15,3
1,2,3,5,41,5,3
1,2,3,66,41,15,3
1,2,3,76,41,5,3
1,2,3,127,41,5,3
1,2,3,6,41,5,3
1,2,3,264,41,15,3
1,2,3,116,41,15,3
1,2,3,21,41,15,3
1,2,3,128,41,40,3
1,2,3,39,41,15,3
1,2,3,95,41,15,3
1,2,3,328,41,5,3
1,2,3,197,41,5,3
1,2,3,337,41,15,3
1,2,3,231,41,15,3
1,2,3,155,41,15,3
1,2,3,131,41,15,3
1,2,3,320,41,15,3
1,2,3,406,41,15,3
1,2,3,108,41,5,3
1,2,3,401,41,15,3
1,2,3,105,41,15,3
1,2,3,140,41,15,3
1,2,3,216,41,15,3
1,2,3,103,41,15,3
1,2,3,181,41,5,3
1,2,3,182,41,5,3
1,2,3,281,41,15,3
1,2,3,127,41,15,3
1,2,3,386,41,15,3
1,2,3,137,41,15,3
1,2,3,249,41,5,3
1,2,3,119,41,15,3
1,2,3,69,41,5,3
1,2,3,358,41,5,3
1,2,3,375,41,15,3
1,2,3,368,41,40,3
1,2,3,159,41,15,3
1,2,3,231,41,15,3
1,2,3,361,41,15,3
1,2,3,66,41,5,3
1,2,3,16,41,15,3
1,2,3,403,41,15,3
1,2,3,94,41,15,3
1,2,3,366,41,40,3
1,2,3,206,41,15,3
1,2,3,241,41,15,3
1,2,3,139,41,40,3
1,2,3,128,41,15,3
1,2,3,360,41,15,3
1,2,3,381,41,15,3
1,2,3,278,41,14,3
1,2,3,216,41,15,3
1,2,3,27,41,15,3
1,2,3,371,41,15,3
1,2,3,371,41,15,3
1,2,3,159,41,15,3
1,2,3,291,41,15,3
1,2,3,337,41,5,3
1,2,3,297,41,15,3
1,2,3,26,41,15,3
1,2,3,370,41,15,3
1,2,3,237,41,15,3
1,2,3,266,41,15,3
1,2,3,125,41,15,3
1,2,3,11,41,15,3
1,2,3,76,41,15,3
1,2,3,247,41,5,3
1,2,3,66,41,5,3
1,2,3,136,41,5,3
1,2,3,353,41,15,3
1,2,3,125,41,15,3
1,2,3,372,41,15,3
1,2,3,311,41,5,3
1,2,3,281,41,15,3
1,2,3,167,41,5,3
1,2,3,329,41,15,3
1,2,3,327,41,15,3
1,2,3,339,41,15,3
1,2,3,182,41,15,3
1,2,3,255,41,14,3
1,2,3,250,41,15,3
1,2,3,304,41,15,3
1,2,3,366,41,15,3
1,2,3,22,41,5,3
1,2,3,175,41,15,3
1,2,3,2,41,15,3
1,2,3,159,41,15,3
1,2,3,59,41,15,3
1,2,3,111,41,5,3
1,2,3,226,41,15,3
1,2,3,296,41,15,3
1,2,3,336,41,15,3
1,2,3,324,41,15,3
1,2,3,177,41,15,3
1,2,3,270,41,15,3
1,2,3,51,41,15,3
1,2,3,4,41,15,3
1,2,3,18,41,5,3
1,2,3,194,41,15,3
1,2,3,359,41,15,3
1,2,3,276,41,14,3
1,2,3,386,41,15,3
1,2,3,409,41,40,3
1,2,3,335,41,15,3
1,2,3,295,41,15,3
1,2,3,408,41,15,3
1,2,3,101,41,5,3
28,2,3,10,41,40,3
1,2,3,146,41,15,3
1,2,3,240,41,15,3
1,2,3,202,41,5,3
1,2,3,103,41,5,3
1,2,3,377,41,15,3
1,2,3,280,41,15,3
1,2,3,244,41,40,3
1,2,3,66,41,15,3
1,2,3,199,41,15,3
1,2,3,14,41,15,3
1,2,3,100,41,5,3
1,2,3,213,41,15,3
1,2,3,52,41,40,3
1,2,3,315,41,15,3
1,2,3,52,41,15,3
1,2,3,279,41,15,3
1,2,3,94,41,15,3
1,2,3,72,41,15,3
1,2,3,314,41,15,3
1,2,3,202,41,15,3
1,2,3,147,41,15,3
1,2,3,128,41,15,3
1,2,3,27,41,15,3
1,2,3,58,41,5,3
1,2,3,93,41,5,3
1,2,3,317,41,15,3
1,2,3,257,41,15,3
1,2,3,83,41,5,3
1,2,3,24,41,15,3
1,2,3,53,41,15,3
1,2,3,122,41,15,3
1,2,3,127,41,40,3
1,2,3,363,41,15,3
1,2,3,358,41,15,3
1,2,3,166,41,15,3
1,2,3,277,41,15,3
1,2,3,240,41,15,3
1,2,3,94,41,5,3
1,2,3,405,41,15,3
1,2,3,112,41,15,3
1,2,3,246,41,15,3
1,2,3,203,41,5,3
1,2,3,209,41,15,3
1,2,3,193,41,15,3
1,2,3,255,41,15,3
1,2,3,195,41,15,3
1,2,3,266,41,40,3
1,2,3,11,41,5,3
1,2,3,286,41,15,3
1,2,3,77,41,15,3
1,2,3,161,41,15,3
1,2,3,376,41,15,3
1,2,3,62,41,40,3
1,2,3,115,41,15,3
1,2,3,160,41,40,3
19,2,3,103,41,15,3
1,2,3,29,41,15,3
1,2,3,222,41,15,3
1,2,3,103,41,15,3
1,2,3,217,41,15,3
1,2,3,146,41,15,3
1,2,3,82,41,15,3
1,2,3,222,41,15,3
1,2,3,227,41,15,3
1,2,3,146,41,15,3
1,2,3,90,41,15,3
1,2,3,221,41,5,3
1,2,3,305,41,15,3
1,2,3,22,41,15,3
1,2,3,168,41,15,3
1,2,3,400,41,15,3
1,2,3,73,41,15,3
1,2,3,142,41,5,3
1,2,3,234,41,15,3
1,2,3,151,41,15,3
1,2,3,182,41,15,3
1,2,3,369,41,15,3
1,2,3,268,41,15,3
1,2,3,27,41,15,3
1,2,3,401,41,15,3
1,2,3,340,41,15,3
1,2,3,161,41,15,3
1,2,3,58,41,15,3
1,2,3,303,41,40,3
1,2,3,29,41,15,3
1,2,3,254,41,5,3
1,2,3,279,41,15,3
1,2,3,39,41,15,3
1,2,3,176,41,15,3
1,2,3,95,41,15,3
1,2,3,166,41,15,3
1,2,3,359,41,40,3
1,2,3,76,41,15,3
1,2,3,382,41,15,3
1,2,3,19,41,40,3
1,2,3,78,41,15,3
1,2,3,294,41,15,3
1,2,3,81,41,5,3
1,2,3,358,41,15,3
1,2,3,400,41,15,3
1,2,3,49,41,5,3
1,2,3,294,41,5,3
1,2,3,90,41,15,3
1,2,3,149,41,15,3
1,2,3,241,41,15,3
1,2,3,306,41,15,3
1,2,3,129,41,15,3
1,2,3,70,41,15,3
1,2,3,299,41,15,3
1,2,3,285,41,5,3
1,2,3,338,41,15,3
1,2,3,169,41,5,3
1,2,3,173,41,40,3
1,2,3,361,41,5,3
1,2,3,147,41,15,3
1,2,3,139,41,15,3
1,2,3,302,41,5,3
1,2,3,113,41,15,3
1,2,3,348,41,5,3
1,2,3,402,41,40,3
1,2,3,144,41,15,3
1,2,3,65,41,5,3
1,2,3,259,41,5,3
1,2,3,1,41,40,3
1,2,3,218,41,15,3
1,2,3,204,41,5,3
1,2,3,259,41,15,3
1,2,3,357,41,5,3
1,2,3,244,41,15,3
1,2,3,105,41,5,3
1,2,3,332,41,15,3
1,2,3,15,41,15,3
1,2,3,322,41,15,3
1,2,3,171,41,40,3
1,2,3,256,41,5,3
1,2,3,251,41,15,3
1,2,3,309,41,15,3
1,2,3,150,41,15,3
1,2,3,73,41,15,3
1,2,3,368,41,15,3
1,2,3,57,41,15,3
1,2,3,232,41,15,3
1,2,3,174,41,15,3
1,2,3,313,41,15,3
1,2,3,213,41,14,3
1,2,3,54,41,5,3
1,2,3,200,41,15,3
1,2,3,148,41,14,3
1,2,3,389,41,15,3
1,2,3,151,41,15,3
1,2,3,173,41,5,3
1,2,3,3,41,40,3
1,2,3,123,41,15,3
1,2,3,299,41,15,3
1,2,3,268,41,15,3
1,2,3,113,41,5,3
1,2,3,355,41,15,3
1,2,3,300,41,15,3
1,2,3,45,41,15,3
1,2,3,242,41,15,3
1,2,3,88,41,15,3
1,2,3,204,41,15,3
1,2,3,32,41,15,3
1,2,3,136,41,15,3
1,2,3,293,41,15,3
1,2,3,384,41,5,3
1,2,3,310,41,15,3
1,2,3,402,41,15,3
1,2,3,242,41,15,3
28,2,3,396,41,40,3
1,2,3,251,41,15,3
1,2,3,11,41,15,3
1,2,3,8,41,15,3
1,2,3,5,41,5,3
1,2,3,410,41,15,3
1,2,3,150,41,5,3
1,2,3,38,41,5,3
1,2,3,267,41,14,3
1,2,3,36,41,15,3
1,2,3,216,41,15,3
1,2,3,2,41,5,3
1,2,3,40,41,15,3
1,2,3,275,41,15,3
1,2,3,399,41,40,3
1,2,3,162,41,15,3
1,2,3,233,41,15,3
1,2,3,169,41,15,3
1,2,3,263,41,15,3
1,2,3,359,41,15,3
1,2,3,125,41,15,3
1,2,3,318,41,15,3
1,2,3,124,41,15,3
1,2,3,99,41,15,3
1,2,3,75,41,15,3
1,2,3,396,41,15,3
1,2,3,220,41,15,3
1,2,3,325,41,15,3
1,2,3,177,41,40,3
